Date;Age;Sex;Deaths
2007-01-30;20-29;Male;0
2007-01-30;30-39;Female;1
2007-01-30;30-39;Male;1
2007-01-30;40-49;Female;1
2007-01-30;40-49;Male;8
2007-01-30;50-59;Female;3
2007-01-30;50-59;Male;8
2007-01-30;60-69;Female;9
2007-01-30;60-69;Male;18
2007-01-30;70-79;Female;17
2007-01-30;70-79;Male;23
2007-01-30;80-89;Female;29
2007-01-30;80-89;Male;19
2007-01-30;90+;Female;14
2007-01-30;90+;Male;8
2007-01-31;0-9;Female;1
2007-01-31;0-9;Male;1
2007-01-31;10-19;Female;0
2007-01-31;10-19;Male;0
2007-01-31;20-29;Female;0
2007-01-31;20-29;Male;0
2007-01-31;30-39;Female;0
2007-01-31;30-39;Male;2
2007-01-31;40-49;Female;0
2007-01-31;40-49;Male;2
2007-01-31;50-59;Female;5
2007-01-31;50-59;Male;9
2007-01-31;60-69;Female;13
2007-01-31;60-69;Male;12
2007-01-31;70-79;Female;21
2007-01-31;70-79;Male;27
2007-01-31;80-89;Female;29
2007-01-31;80-89;Male;15
2007-01-31;90+;Female;14
2007-01-31;90+;Male;6
2007-02-01;0-9;Female;0
2007-02-01;0-9;Male;0
2007-02-01;10-19;Female;0
2007-02-01;10-19;Male;0
2007-02-01;20-29;Female;0
2007-02-01;20-29;Male;1
2007-02-01;30-39;Female;2
2007-02-01;30-39;Male;0
2007-02-01;40-49;Female;3
2007-02-01;40-49;Male;5
2007-02-01;50-59;Female;3
2007-02-01;50-59;Male;7
2007-02-01;60-69;Female;11
2007-02-01;60-69;Male;11
2007-02-01;70-79;Female;18
2007-02-01;70-79;Male;30
2007-02-01;80-89;Female;31
2007-02-01;80-89;Male;19
2007-02-01;90+;Female;17
2007-02-01;90+;Male;4
2007-02-02;0-9;Female;0
2007-02-02;0-9;Male;4
2007-02-02;10-19;Female;1
2007-02-02;10-19;Male;1
2007-02-02;20-29;Female;1
2007-02-02;20-29;Male;1
2007-02-02;30-39;Female;0
2007-02-02;30-39;Male;0
2007-02-02;40-49;Female;1
2007-02-02;40-49;Male;3
2007-02-02;50-59;Female;6
2007-02-02;50-59;Male;7
2007-02-02;60-69;Female;5
